LifeZone,AIDBSPP,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
Boreal rain forest,Hemlock,0.0,1.8605280636091114e-40,1.2116972886837211e-27,1.1349568175540913e-20,4.497050634715921e-16,9.206358844105665e-13,2.9676163401811584e-10,2.728169001023567e-08,1.0192973170414403e-06,1.9442149290866942e-05,0.00022113698596544403,0.0016749533431026748,0.009162447289890333,0.03848534033461026,0.1301326073488071,0.3676342472875783,0.8938244244010957,1.9155306631320221,3.6898909313390775,6.492598977752852,10.575760563299216,16.126779770513668,23.238549885751578,31.896671204107715,41.98403940354828,53.299030858415186,65.5815434446108,78.54115991492087,91.88296641286598,105.32829699542015,118.62930896145362,131.57752260929513,144.00720830198432,155.79483552287854,166.855831155269,177.13974855023707,186.62472250132527,195.31184440157,203.21987488963617,210.38053541160977,216.83448889677413,222.62802913969233,227.81044113201654,232.43196243154287,236.54226134243805,240.18934517184036,243.41881651654606,246.27340410971658,248.79270497635673,251.01308507729942,252.96769542361983,254.6865693819784,256.1967743969233,257.52259762282125,258.6857500726224,259.7055779853319,260.5992733366802,261.3820779136638,262.0674772772066,262.6673823653469,263.19229754205975,263.65147465675136,264.05305321418126,264.4041871180569,264.7111586867337,264.97948077977014,265.2139879454019,265.4189175212843,265.5979816089624,265.75443080791916,265.8911105458967,266.01051078477394,266.1148098197454,266.20591282730226,266.2854857562968,266.3549850979173,266.41568401532913,266.46869526266494,266.51499127608895,266.55542177691933,266.5907291880825,266.621562130339,266.6484872335213,266.6719994701231,266.69253119384047,266.7104600435894,266.72611585410186,266.7397866969355,266.7517241605494,266.76214796470725,266.7712499926846,266.7791978143851,266.7861377644028,266.79219763102117,266.79748900520707,266.8021093324508,266.80614370497153,266.8096664270676,266.8127423822699,266.81542822737094,266.8177734352054,266.8198212053278,266.82160925930066,266.8231705352092,266.82453379414943,266.82572414984656,266.8267635311437,266.82767108585307,266.8284635334194,266.82915547285705,266.8297596516589,266.8302872005943,266.830747838747,266.8311500525386,266.8315012520684,266.8318079076093,266.8320756688063,266.8323094687519,266.8325136148689,266.8326918682568,266.8328475129888,266.83298341660793,266.83310208296035,266.83320569831966,266.83329617166726,266.8333751698602,266.833444148345,266.83350437796383,266.833556968375,266.83360288849514,266.833642984347,266.8336779946512,266.8337085644292,266.8337352568962,266.83375856382827,266.8337789146307,266.8337966842414,266.8338122000452,266.8338257479055,266.8338375774241,266.83384790654804,266.83385692557783,266.83386480068066,266.8338716769463,266.8338776810606,266.83388292364407,266.83388750128483,266.83389149832135,266.8338949883938,266.83389803580474,266.83390069669576,266.83390302009354,266.8339050488038,266.8339068202021,266.83390836692666,266.8339097174709,266.8339108967199,266.83391192639897,266.8339128254787,266.83391361052315,266.83391429599783,266.83391489452964,266.8339154171457,266.83391587347757,266.83391627192964,266.8339166198441,266.83391692363125,266.83391718888817,266.83391742050014,266.8339176227357,266.83391779932157,266.8339179535095,266.8339180881406,266.8339182056965,266.8339183083426,266.83391839796906,266.83391847622727,266.8339185445601,266.83391860422654,266.833918656324,266.83391870181464,266.83391874153426,266.83391877621807,266.8339188065011,266.83391883294325,266.83391885603186,266.8339188761932,266.8339188937962,266.8339189091668,266.8339189225877,266.83391893430684,266.8339189445386,266.83391895347376,266.833918961274,266.83391896808683,266.8339189740348,266.8339189792279,266.8339189837624,266.8339189877217,266.83391899117964,266.8339189941989
Boreal wet forest,Hemlock,0.0,1.8605280636091114e-40,1.2116972886837211e-27,1.1349568175540913e-20,4.497050634715921e-16,9.206358844105665e-13,2.9676163401811584e-10,2.728169001023567e-08,1.0192973170414403e-06,1.9442149290866942e-05,0.00022113698596544403,0.0016749533431026748,0.009162447289890333,0.03848534033461026,0.1301326073488071,0.3676342472875783,0.8938244244010957,1.9155306631320221,3.6898909313390775,6.492598977752852,10.575760563299216,16.126779770513668,23.238549885751578,31.896671204107715,41.98403940354828,53.299030858415186,65.5815434446108,78.54115991492087,91.88296641286598,105.32829699542015,118.62930896145362,131.57752260929513,144.00720830198432,155.79483552287854,166.855831155269,177.13974855023707,186.62472250132527,195.31184440157,203.21987488963617,210.38053541160977,216.83448889677413,222.62802913969233,227.81044113201654,232.43196243154287,236.54226134243805,240.18934517184036,243.41881651654606,246.27340410971658,248.79270497635673,251.01308507729942,252.96769542361983,254.6865693819784,256.1967743969233,257.52259762282125,258.6857500726224,259.7055779853319,260.5992733366802,261.3820779136638,262.0674772772066,262.6673823653469,263.19229754205975,263.65147465675136,264.05305321418126,264.4041871180569,264.7111586867337,264.97948077977014,265.2139879454019,265.4189175212843,265.5979816089624,265.75443080791916,265.8911105458967,266.01051078477394,266.1148098197454,266.20591282730226,266.2854857562968,266.3549850979173,266.41568401532913,266.46869526266494,266.51499127608895,266.55542177691933,266.5907291880825,266.621562130339,266.6484872335213,266.6719994701231,266.69253119384047,266.7104600435894,266.72611585410186,266.7397866969355,266.7517241605494,266.76214796470725,266.7712499926846,266.7791978143851,266.7861377644028,266.79219763102117,266.79748900520707,266.8021093324508,266.80614370497153,266.8096664270676,266.8127423822699,266.81542822737094,266.8177734352054,266.8198212053278,266.82160925930066,266.8231705352092,266.82453379414943,266.82572414984656,266.8267635311437,266.82767108585307,266.8284635334194,266.82915547285705,266.8297596516589,266.8302872005943,266.830747838747,266.8311500525386,266.8315012520684,266.8318079076093,266.8320756688063,266.8323094687519,266.8325136148689,266.8326918682568,266.8328475129888,266.83298341660793,266.83310208296035,266.83320569831966,266.83329617166726,266.8333751698602,266.833444148345,266.83350437796383,266.833556968375,266.83360288849514,266.833642984347,266.8336779946512,266.8337085644292,266.8337352568962,266.83375856382827,266.8337789146307,266.8337966842414,266.8338122000452,266.8338257479055,266.8338375774241,266.83384790654804,266.83385692557783,266.83386480068066,266.8338716769463,266.8338776810606,266.83388292364407,266.83388750128483,266.83389149832135,266.8338949883938,266.83389803580474,266.83390069669576,266.83390302009354,266.8339050488038,266.8339068202021,266.83390836692666,266.8339097174709,266.8339108967199,266.83391192639897,266.8339128254787,266.83391361052315,266.83391429599783,266.83391489452964,266.8339154171457,266.83391587347757,266.83391627192964,266.8339166198441,266.83391692363125,266.83391718888817,266.83391742050014,266.8339176227357,266.83391779932157,266.8339179535095,266.8339180881406,266.8339182056965,266.8339183083426,266.83391839796906,266.83391847622727,266.8339185445601,266.83391860422654,266.833918656324,266.83391870181464,266.83391874153426,266.83391877621807,266.8339188065011,266.83391883294325,266.83391885603186,266.8339188761932,266.8339188937962,266.8339189091668,266.8339189225877,266.83391893430684,266.8339189445386,266.83391895347376,266.833918961274,266.83391896808683,266.8339189740348,266.8339189792279,266.8339189837624,266.8339189877217,266.83391899117964,266.8339189941989
Cool temperate moist forest,Hemlock,0.0,1.8605280636091114e-40,1.2116972886837211e-27,1.1349568175540913e-20,4.497050634715921e-16,9.206358844105665e-13,2.9676163401811584e-10,2.728169001023567e-08,1.0192973170414403e-06,1.9442149290866942e-05,0.00022113698596544403,0.0016749533431026748,0.009162447289890333,0.03848534033461026,0.1301326073488071,0.3676342472875783,0.8938244244010957,1.9155306631320221,3.6898909313390775,6.492598977752852,10.575760563299216,16.126779770513668,23.238549885751578,31.896671204107715,41.98403940354828,53.299030858415186,65.5815434446108,78.54115991492087,91.88296641286598,105.32829699542015,118.62930896145362,131.57752260929513,144.00720830198432,155.79483552287854,166.855831155269,177.13974855023707,186.62472250132527,195.31184440157,203.21987488963617,210.38053541160977,216.83448889677413,222.62802913969233,227.81044113201654,232.43196243154287,236.54226134243805,240.18934517184036,243.41881651654606,246.27340410971658,248.79270497635673,251.01308507729942,252.96769542361983,254.6865693819784,256.1967743969233,257.52259762282125,258.6857500726224,259.7055779853319,260.5992733366802,261.3820779136638,262.0674772772066,262.6673823653469,263.19229754205975,263.65147465675136,264.05305321418126,264.4041871180569,264.7111586867337,264.97948077977014,265.2139879454019,265.4189175212843,265.5979816089624,265.75443080791916,265.8911105458967,266.01051078477394,266.1148098197454,266.20591282730226,266.2854857562968,266.3549850979173,266.41568401532913,266.46869526266494,266.51499127608895,266.55542177691933,266.5907291880825,266.621562130339,266.6484872335213,266.6719994701231,266.69253119384047,266.7104600435894,266.72611585410186,266.7397866969355,266.7517241605494,266.76214796470725,266.7712499926846,266.7791978143851,266.7861377644028,266.79219763102117,266.79748900520707,266.8021093324508,266.80614370497153,266.8096664270676,266.8127423822699,266.81542822737094,266.8177734352054,266.8198212053278,266.82160925930066,266.8231705352092,266.82453379414943,266.82572414984656,266.8267635311437,266.82767108585307,266.8284635334194,266.82915547285705,266.8297596516589,266.8302872005943,266.830747838747,266.8311500525386,266.8315012520684,266.8318079076093,266.8320756688063,266.8323094687519,266.8325136148689,266.8326918682568,266.8328475129888,266.83298341660793,266.83310208296035,266.83320569831966,266.83329617166726,266.8333751698602,266.833444148345,266.83350437796383,266.833556968375,266.83360288849514,266.833642984347,266.8336779946512,266.8337085644292,266.8337352568962,266.83375856382827,266.8337789146307,266.8337966842414,266.8338122000452,266.8338257479055,266.8338375774241,266.83384790654804,266.83385692557783,266.83386480068066,266.8338716769463,266.8338776810606,266.83388292364407,266.83388750128483,266.83389149832135,266.8338949883938,266.83389803580474,266.83390069669576,266.83390302009354,266.8339050488038,266.8339068202021,266.83390836692666,266.8339097174709,266.8339108967199,266.83391192639897,266.8339128254787,266.83391361052315,266.83391429599783,266.83391489452964,266.8339154171457,266.83391587347757,266.83391627192964,266.8339166198441,266.83391692363125,266.83391718888817,266.83391742050014,266.8339176227357,266.83391779932157,266.8339179535095,266.8339180881406,266.8339182056965,266.8339183083426,266.83391839796906,266.83391847622727,266.8339185445601,266.83391860422654,266.833918656324,266.83391870181464,266.83391874153426,266.83391877621807,266.8339188065011,266.83391883294325,266.83391885603186,266.8339188761932,266.8339188937962,266.8339189091668,266.8339189225877,266.83391893430684,266.8339189445386,266.83391895347376,266.833918961274,266.83391896808683,266.8339189740348,266.8339189792279,266.8339189837624,266.8339189877217,266.83391899117964,266.8339189941989
Cool temperate rain forest,Hemlock,0.0,1.8605280636091114e-40,1.2116972886837211e-27,1.1349568175540913e-20,4.497050634715921e-16,9.206358844105665e-13,2.9676163401811584e-10,2.728169001023567e-08,1.0192973170414403e-06,1.9442149290866942e-05,0.00022113698596544403,0.0016749533431026748,0.009162447289890333,0.03848534033461026,0.1301326073488071,0.3676342472875783,0.8938244244010957,1.9155306631320221,3.6898909313390775,6.492598977752852,10.575760563299216,16.126779770513668,23.238549885751578,31.896671204107715,41.98403940354828,53.299030858415186,65.5815434446108,78.54115991492087,91.88296641286598,105.32829699542015,118.62930896145362,131.57752260929513,144.00720830198432,155.79483552287854,166.855831155269,177.13974855023707,186.62472250132527,195.31184440157,203.21987488963617,210.38053541160977,216.83448889677413,222.62802913969233,227.81044113201654,232.43196243154287,236.54226134243805,240.18934517184036,243.41881651654606,246.27340410971658,248.79270497635673,251.01308507729942,252.96769542361983,254.6865693819784,256.1967743969233,257.52259762282125,258.6857500726224,259.7055779853319,260.5992733366802,261.3820779136638,262.0674772772066,262.6673823653469,263.19229754205975,263.65147465675136,264.05305321418126,264.4041871180569,264.7111586867337,264.97948077977014,265.2139879454019,265.4189175212843,265.5979816089624,265.75443080791916,265.8911105458967,266.01051078477394,266.1148098197454,266.20591282730226,266.2854857562968,266.3549850979173,266.41568401532913,266.46869526266494,266.51499127608895,266.55542177691933,266.5907291880825,266.621562130339,266.6484872335213,266.6719994701231,266.69253119384047,266.7104600435894,266.72611585410186,266.7397866969355,266.7517241605494,266.76214796470725,266.7712499926846,266.7791978143851,266.7861377644028,266.79219763102117,266.79748900520707,266.8021093324508,266.80614370497153,266.8096664270676,266.8127423822699,266.81542822737094,266.8177734352054,266.8198212053278,266.82160925930066,266.8231705352092,266.82453379414943,266.82572414984656,266.8267635311437,266.82767108585307,266.8284635334194,266.82915547285705,266.8297596516589,266.8302872005943,266.830747838747,266.8311500525386,266.8315012520684,266.8318079076093,266.8320756688063,266.8323094687519,266.8325136148689,266.8326918682568,266.8328475129888,266.83298341660793,266.83310208296035,266.83320569831966,266.83329617166726,266.8333751698602,266.833444148345,266.83350437796383,266.833556968375,266.83360288849514,266.833642984347,266.8336779946512,266.8337085644292,266.8337352568962,266.83375856382827,266.8337789146307,266.8337966842414,266.8338122000452,266.8338257479055,266.8338375774241,266.83384790654804,266.83385692557783,266.83386480068066,266.8338716769463,266.8338776810606,266.83388292364407,266.83388750128483,266.83389149832135,266.8338949883938,266.83389803580474,266.83390069669576,266.83390302009354,266.8339050488038,266.8339068202021,266.83390836692666,266.8339097174709,266.8339108967199,266.83391192639897,266.8339128254787,266.83391361052315,266.83391429599783,266.83391489452964,266.8339154171457,266.83391587347757,266.83391627192964,266.8339166198441,266.83391692363125,266.83391718888817,266.83391742050014,266.8339176227357,266.83391779932157,266.8339179535095,266.8339180881406,266.8339182056965,266.8339183083426,266.83391839796906,266.83391847622727,266.8339185445601,266.83391860422654,266.833918656324,266.83391870181464,266.83391874153426,266.83391877621807,266.8339188065011,266.83391883294325,266.83391885603186,266.8339188761932,266.8339188937962,266.8339189091668,266.8339189225877,266.83391893430684,266.8339189445386,266.83391895347376,266.833918961274,266.83391896808683,266.8339189740348,266.8339189792279,266.8339189837624,266.8339189877217,266.83391899117964,266.8339189941989
Cool temperate wet forest,Hemlock,0.0,1.8605280636091114e-40,1.2116972886837211e-27,1.1349568175540913e-20,4.497050634715921e-16,9.206358844105665e-13,2.9676163401811584e-10,2.728169001023567e-08,1.0192973170414403e-06,1.9442149290866942e-05,0.00022113698596544403,0.0016749533431026748,0.009162447289890333,0.03848534033461026,0.1301326073488071,0.3676342472875783,0.8938244244010957,1.9155306631320221,3.6898909313390775,6.492598977752852,10.575760563299216,16.126779770513668,23.238549885751578,31.896671204107715,41.98403940354828,53.299030858415186,65.5815434446108,78.54115991492087,91.88296641286598,105.32829699542015,118.62930896145362,131.57752260929513,144.00720830198432,155.79483552287854,166.855831155269,177.13974855023707,186.62472250132527,195.31184440157,203.21987488963617,210.38053541160977,216.83448889677413,222.62802913969233,227.81044113201654,232.43196243154287,236.54226134243805,240.18934517184036,243.41881651654606,246.27340410971658,248.79270497635673,251.01308507729942,252.96769542361983,254.6865693819784,256.1967743969233,257.52259762282125,258.6857500726224,259.7055779853319,260.5992733366802,261.3820779136638,262.0674772772066,262.6673823653469,263.19229754205975,263.65147465675136,264.05305321418126,264.4041871180569,264.7111586867337,264.97948077977014,265.2139879454019,265.4189175212843,265.5979816089624,265.75443080791916,265.8911105458967,266.01051078477394,266.1148098197454,266.20591282730226,266.2854857562968,266.3549850979173,266.41568401532913,266.46869526266494,266.51499127608895,266.55542177691933,266.5907291880825,266.621562130339,266.6484872335213,266.6719994701231,266.69253119384047,266.7104600435894,266.72611585410186,266.7397866969355,266.7517241605494,266.76214796470725,266.7712499926846,266.7791978143851,266.7861377644028,266.79219763102117,266.79748900520707,266.8021093324508,266.80614370497153,266.8096664270676,266.8127423822699,266.81542822737094,266.8177734352054,266.8198212053278,266.82160925930066,266.8231705352092,266.82453379414943,266.82572414984656,266.8267635311437,266.82767108585307,266.8284635334194,266.82915547285705,266.8297596516589,266.8302872005943,266.830747838747,266.8311500525386,266.8315012520684,266.8318079076093,266.8320756688063,266.8323094687519,266.8325136148689,266.8326918682568,266.8328475129888,266.83298341660793,266.83310208296035,266.83320569831966,266.83329617166726,266.8333751698602,266.833444148345,266.83350437796383,266.833556968375,266.83360288849514,266.833642984347,266.8336779946512,266.8337085644292,266.8337352568962,266.83375856382827,266.8337789146307,266.8337966842414,266.8338122000452,266.8338257479055,266.8338375774241,266.83384790654804,266.83385692557783,266.83386480068066,266.8338716769463,266.8338776810606,266.83388292364407,266.83388750128483,266.83389149832135,266.8338949883938,266.83389803580474,266.83390069669576,266.83390302009354,266.8339050488038,266.8339068202021,266.83390836692666,266.8339097174709,266.8339108967199,266.83391192639897,266.8339128254787,266.83391361052315,266.83391429599783,266.83391489452964,266.8339154171457,266.83391587347757,266.83391627192964,266.8339166198441,266.83391692363125,266.83391718888817,266.83391742050014,266.8339176227357,266.83391779932157,266.8339179535095,266.8339180881406,266.8339182056965,266.8339183083426,266.83391839796906,266.83391847622727,266.8339185445601,266.83391860422654,266.833918656324,266.83391870181464,266.83391874153426,266.83391877621807,266.8339188065011,266.83391883294325,266.83391885603186,266.8339188761932,266.8339188937962,266.8339189091668,266.8339189225877,266.83391893430684,266.8339189445386,266.83391895347376,266.833918961274,266.83391896808683,266.8339189740348,266.8339189792279,266.8339189837624,266.8339189877217,266.83391899117964,266.8339189941989
Warm temperate moist forest,Hemlock,0.0,1.8605280636091114e-40,1.2116972886837211e-27,1.1349568175540913e-20,4.497050634715921e-16,9.206358844105665e-13,2.9676163401811584e-10,2.728169001023567e-08,1.0192973170414403e-06,1.9442149290866942e-05,0.00022113698596544403,0.0016749533431026748,0.009162447289890333,0.03848534033461026,0.1301326073488071,0.3676342472875783,0.8938244244010957,1.9155306631320221,3.6898909313390775,6.492598977752852,10.575760563299216,16.126779770513668,23.238549885751578,31.896671204107715,41.98403940354828,53.299030858415186,65.5815434446108,78.54115991492087,91.88296641286598,105.32829699542015,118.62930896145362,131.57752260929513,144.00720830198432,155.79483552287854,166.855831155269,177.13974855023707,186.62472250132527,195.31184440157,203.21987488963617,210.38053541160977,216.83448889677413,222.62802913969233,227.81044113201654,232.43196243154287,236.54226134243805,240.18934517184036,243.41881651654606,246.27340410971658,248.79270497635673,251.01308507729942,252.96769542361983,254.6865693819784,256.1967743969233,257.52259762282125,258.6857500726224,259.7055779853319,260.5992733366802,261.3820779136638,262.0674772772066,262.6673823653469,263.19229754205975,263.65147465675136,264.05305321418126,264.4041871180569,264.7111586867337,264.97948077977014,265.2139879454019,265.4189175212843,265.5979816089624,265.75443080791916,265.8911105458967,266.01051078477394,266.1148098197454,266.20591282730226,266.2854857562968,266.3549850979173,266.41568401532913,266.46869526266494,266.51499127608895,266.55542177691933,266.5907291880825,266.621562130339,266.6484872335213,266.6719994701231,266.69253119384047,266.7104600435894,266.72611585410186,266.7397866969355,266.7517241605494,266.76214796470725,266.7712499926846,266.7791978143851,266.7861377644028,266.79219763102117,266.79748900520707,266.8021093324508,266.80614370497153,266.8096664270676,266.8127423822699,266.81542822737094,266.8177734352054,266.8198212053278,266.82160925930066,266.8231705352092,266.82453379414943,266.82572414984656,266.8267635311437,266.82767108585307,266.8284635334194,266.82915547285705,266.8297596516589,266.8302872005943,266.830747838747,266.8311500525386,266.8315012520684,266.8318079076093,266.8320756688063,266.8323094687519,266.8325136148689,266.8326918682568,266.8328475129888,266.83298341660793,266.83310208296035,266.83320569831966,266.83329617166726,266.8333751698602,266.833444148345,266.83350437796383,266.833556968375,266.83360288849514,266.833642984347,266.8336779946512,266.8337085644292,266.8337352568962,266.83375856382827,266.8337789146307,266.8337966842414,266.8338122000452,266.8338257479055,266.8338375774241,266.83384790654804,266.83385692557783,266.83386480068066,266.8338716769463,266.8338776810606,266.83388292364407,266.83388750128483,266.83389149832135,266.8338949883938,266.83389803580474,266.83390069669576,266.83390302009354,266.8339050488038,266.8339068202021,266.83390836692666,266.8339097174709,266.8339108967199,266.83391192639897,266.8339128254787,266.83391361052315,266.83391429599783,266.83391489452964,266.8339154171457,266.83391587347757,266.83391627192964,266.8339166198441,266.83391692363125,266.83391718888817,266.83391742050014,266.8339176227357,266.83391779932157,266.8339179535095,266.8339180881406,266.8339182056965,266.8339183083426,266.83391839796906,266.83391847622727,266.8339185445601,266.83391860422654,266.833918656324,266.83391870181464,266.83391874153426,266.83391877621807,266.8339188065011,266.83391883294325,266.83391885603186,266.8339188761932,266.8339188937962,266.8339189091668,266.8339189225877,266.83391893430684,266.8339189445386,266.83391895347376,266.833918961274,266.83391896808683,266.8339189740348,266.8339189792279,266.8339189837624,266.8339189877217,266.83391899117964,266.8339189941989
Unspecified,Hemlock,0.0,1.8605280636091114e-40,1.2116972886837211e-27,1.1349568175540913e-20,4.497050634715921e-16,9.206358844105665e-13,2.9676163401811584e-10,2.728169001023567e-08,1.0192973170414403e-06,1.9442149290866942e-05,0.00022113698596544403,0.0016749533431026748,0.009162447289890333,0.03848534033461026,0.1301326073488071,0.3676342472875783,0.8938244244010957,1.9155306631320221,3.6898909313390775,6.492598977752852,10.575760563299216,16.126779770513668,23.238549885751578,31.896671204107715,41.98403940354828,53.299030858415186,65.5815434446108,78.54115991492087,91.88296641286598,105.32829699542015,118.62930896145362,131.57752260929513,144.00720830198432,155.79483552287854,166.855831155269,177.13974855023707,186.62472250132527,195.31184440157,203.21987488963617,210.38053541160977,216.83448889677413,222.62802913969233,227.81044113201654,232.43196243154287,236.54226134243805,240.18934517184036,243.41881651654606,246.27340410971658,248.79270497635673,251.01308507729942,252.96769542361983,254.6865693819784,256.1967743969233,257.52259762282125,258.6857500726224,259.7055779853319,260.5992733366802,261.3820779136638,262.0674772772066,262.6673823653469,263.19229754205975,263.65147465675136,264.05305321418126,264.4041871180569,264.7111586867337,264.97948077977014,265.2139879454019,265.4189175212843,265.5979816089624,265.75443080791916,265.8911105458967,266.01051078477394,266.1148098197454,266.20591282730226,266.2854857562968,266.3549850979173,266.41568401532913,266.46869526266494,266.51499127608895,266.55542177691933,266.5907291880825,266.621562130339,266.6484872335213,266.6719994701231,266.69253119384047,266.7104600435894,266.72611585410186,266.7397866969355,266.7517241605494,266.76214796470725,266.7712499926846,266.7791978143851,266.7861377644028,266.79219763102117,266.79748900520707,266.8021093324508,266.80614370497153,266.8096664270676,266.8127423822699,266.81542822737094,266.8177734352054,266.8198212053278,266.82160925930066,266.8231705352092,266.82453379414943,266.82572414984656,266.8267635311437,266.82767108585307,266.8284635334194,266.82915547285705,266.8297596516589,266.8302872005943,266.830747838747,266.8311500525386,266.8315012520684,266.8318079076093,266.8320756688063,266.8323094687519,266.8325136148689,266.8326918682568,266.8328475129888,266.83298341660793,266.83310208296035,266.83320569831966,266.83329617166726,266.8333751698602,266.833444148345,266.83350437796383,266.833556968375,266.83360288849514,266.833642984347,266.8336779946512,266.8337085644292,266.8337352568962,266.83375856382827,266.8337789146307,266.8337966842414,266.8338122000452,266.8338257479055,266.8338375774241,266.83384790654804,266.83385692557783,266.83386480068066,266.8338716769463,266.8338776810606,266.83388292364407,266.83388750128483,266.83389149832135,266.8338949883938,266.83389803580474,266.83390069669576,266.83390302009354,266.8339050488038,266.8339068202021,266.83390836692666,266.8339097174709,266.8339108967199,266.83391192639897,266.8339128254787,266.83391361052315,266.83391429599783,266.83391489452964,266.8339154171457,266.83391587347757,266.83391627192964,266.8339166198441,266.83391692363125,266.83391718888817,266.83391742050014,266.8339176227357,266.83391779932157,266.8339179535095,266.8339180881406,266.8339182056965,266.8339183083426,266.83391839796906,266.83391847622727,266.8339185445601,266.83391860422654,266.833918656324,266.83391870181464,266.83391874153426,266.83391877621807,266.8339188065011,266.83391883294325,266.83391885603186,266.8339188761932,266.8339188937962,266.8339189091668,266.8339189225877,266.83391893430684,266.8339189445386,266.83391895347376,266.833918961274,266.83391896808683,266.8339189740348,266.8339189792279,266.8339189837624,266.8339189877217,266.83391899117964,266.8339189941989
