year,indicator,LifeZone,"Default Decay, Turnover and Spinup parameters"
2050,Deadwood,Boreal rain forest,17.59199895498426
2050,Deadwood,Boreal wet forest,15.329283971044779
2050,Deadwood,Cool temperate moist forest,15.906735639974416
2050,Deadwood,Cool temperate rain forest,17.56879419708451
2050,Deadwood,Cool temperate wet forest,15.60713869647181
2050,Deadwood,Warm temperate moist forest,14.525413065787719
2050,Litter,Boreal rain forest,35.70484043357152
2050,Litter,Boreal wet forest,31.05183664296155
2050,Litter,Cool temperate moist forest,32.03779358497886
2050,Litter,Cool temperate rain forest,35.61510611214787
2050,Litter,Cool temperate wet forest,31.31860748515828
2050,Litter,Warm temperate moist forest,29.19338867276029
2050,Soil Carbon,Boreal rain forest,73.97522034928451
2050,Soil Carbon,Boreal wet forest,71.44191203998618
2050,Soil Carbon,Cool temperate moist forest,71.81898510753936
2050,Soil Carbon,Cool temperate rain forest,73.91210948811329
2050,Soil Carbon,Cool temperate wet forest,71.33290895853449
2050,Soil Carbon,Warm temperate moist forest,70.25063314920634
2050,Total Biomass,Boreal rain forest,121.81071576155627
2050,Total Biomass,Boreal wet forest,121.81071576155652
2050,Total Biomass,Cool temperate moist forest,121.81071576155603
2050,Total Biomass,Cool temperate rain forest,121.81071576155564
2050,Total Biomass,Cool temperate wet forest,121.81071576156296
2050,Total Biomass,Warm temperate moist forest,121.8107157615559
