year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
1920,Deadwood,Boreal rain forest,45.66486163010587
1920,Deadwood,Boreal wet forest,41.81246390670484
1920,Deadwood,Cool temperate moist forest,42.607789980513566
1920,Deadwood,Cool temperate rain forest,45.604512649730225
1920,Deadwood,Cool temperate wet forest,41.98888052957894
1920,Deadwood,Warm temperate moist forest,40.23591912322395
1920,Litter,Boreal rain forest,19.275303567993017
1920,Litter,Boreal wet forest,17.31818394492913
1920,Litter,Cool temperate moist forest,17.74260093056284
1920,Litter,Cool temperate rain forest,19.235075782533958
1920,Litter,Cool temperate wet forest,17.44755498990354
1920,Litter,Warm temperate moist forest,16.549762252080626
1920,Soil Carbon,Boreal rain forest,71.06284995811268
1920,Soil Carbon,Boreal wet forest,68.92950901452075
1920,Soil Carbon,Cool temperate moist forest,69.22303865219861
1920,Soil Carbon,Cool temperate rain forest,71.008340312883945
1920,Soil Carbon,Cool temperate wet forest,68.79899002816857
1920,Soil Carbon,Warm temperate moist forest,67.89867100284991
1920,Total Biomass,Boreal rain forest,21.54252754896605
1920,Total Biomass,Boreal wet forest,21.54252754896618
1920,Total Biomass,Cool temperate moist forest,21.54252754896613
1920,Total Biomass,Cool temperate rain forest,21.542527548966053
1920,Total Biomass,Cool temperate wet forest,21.542527548968245
1920,Total Biomass,Warm temperate moist forest,21.542527548966078
