year,indicator,LifeZone,pool_tc_sum,area_sum,pool_tc_per_ha,run
1900,Deadwood,Boreal rain forest,10760616.491872407,109148.48865778596,98.58694906541717,"Modified Decay, Turnover and Spinup parameters"
1900,Deadwood,Boreal wet forest,10461933.449100437,108616.23682908775,96.32016128088411,"Modified Decay, Turnover and Spinup parameters"
1900,Deadwood,Cool temperate moist forest,29390791.654887617,303464.33501748473,96.85089238969121,"Modified Decay, Turnover and Spinup parameters"
1900,Deadwood,Cool temperate rain forest,6878361.4892971,69789.00250735159,98.559389619769,"Modified Decay, Turnover and Spinup parameters"
1900,Deadwood,Cool temperate wet forest,140890123.51966164,1459666.8536397922,96.52210925276628,"Modified Decay, Turnover and Spinup parameters"
1900,Deadwood,Warm temperate moist forest,115064.0252906683,1205.3539609117215,95.4607766864056,"Modified Decay, Turnover and Spinup parameters"
1900,Litter,Boreal rain forest,2336903.794790521,109148.48865778596,21.410317481513026,"Modified Decay, Turnover and Spinup parameters"
1900,Litter,Boreal wet forest,2202618.554139578,108616.23682908775,20.27890689681591,"Modified Decay, Turnover and Spinup parameters"
1900,Litter,Cool temperate moist forest,6216613.924141284,303464.33501748473,20.485484476398522,"Modified Decay, Turnover and Spinup parameters"
1900,Litter,Cool temperate rain forest,1492532.8323331068,69789.00250735159,21.386361442490642,"Modified Decay, Turnover and Spinup parameters"
1900,Litter,Cool temperate wet forest,29617153.67523562,1459666.8536397922,20.290351597272323,"Modified Decay, Turnover and Spinup parameters"
1900,Litter,Warm temperate moist forest,23852.683676760873,1205.3539609117215,19.788945363998195,"Modified Decay, Turnover and Spinup parameters"
1900,Soil Carbon,Boreal rain forest,7962411.059821195,109148.48865778596,72.95026397283246,"Modified Decay, Turnover and Spinup parameters"
1900,Soil Carbon,Boreal wet forest,7666904.304325154,108616.23682908775,70.58709202372158,"Modified Decay, Turnover and Spinup parameters"
1900,Soil Carbon,Cool temperate moist forest,21525180.59428787,303464.33501748473,70.93150037894124,"Modified Decay, Turnover and Spinup parameters"
1900,Soil Carbon,Cool temperate rain forest,5087044.9525718335,69789.00250735159,72.89178480572156,"Modified Decay, Turnover and Spinup parameters"
1900,Soil Carbon,Cool temperate wet forest,102867155.58942313,1459666.8536397922,70.4730365925046,"Modified Decay, Turnover and Spinup parameters"
1900,Soil Carbon,Warm temperate moist forest,83731.92713127563,1205.3539609117215,69.46667107472844,"Modified Decay, Turnover and Spinup parameters"
1900,Total Biomass,Boreal rain forest,6685.133133042395,109148.48865778596,0.06124805954943032,"Modified Decay, Turnover and Spinup parameters"
1900,Total Biomass,Boreal wet forest,6652.533741343067,108616.23682908775,0.061248059549431,"Modified Decay, Turnover and Spinup parameters"
1900,Total Biomass,Cool temperate moist forest,18586.601662279158,303464.33501748473,0.06124805954943025,"Modified Decay, Turnover and Spinup parameters"
1900,Total Biomass,Cool temperate rain forest,4274.440981465624,69789.00250735159,0.06124805954943049,"Modified Decay, Turnover and Spinup parameters"
1900,Total Biomass,Cool temperate wet forest,89401.76237406654,1459666.8536397922,0.06124805954943509,"Modified Decay, Turnover and Spinup parameters"
1900,Total Biomass,Warm temperate moist forest,73.82559117606333,1205.3539609117215,0.06124805954943074,"Modified Decay, Turnover and Spinup parameters"
1901,Deadwood,Boreal rain forest,10132952.361157177,109148.48865778596,92.83639641522747,"Modified Decay, Turnover and Spinup parameters"
1901,Deadwood,Boreal wet forest,9803041.002139747,108616.23682908775,90.25391864353806,"Modified Decay, Turnover and Spinup parameters"
1901,Deadwood,Cool temperate moist forest,27562244.24641908,303464.33501748473,90.82531640771236,"Modified Decay, Turnover and Spinup parameters"
1901,Deadwood,Cool temperate rain forest,6476666.674951222,69789.00250735159,92.80354271103056,"Modified Decay, Turnover and Spinup parameters"
1901,Deadwood,Cool temperate wet forest,131997690.585873,1459666.8536397922,90.43001165418434,"Modified Decay, Turnover and Spinup parameters"
1901,Deadwood,Warm temperate moist forest,107561.11555087718,1205.3539609117215,89.2361240257747,"Modified Decay, Turnover and Spinup parameters"
1901,Litter,Boreal rain forest,2407426.1492345072,109148.48865778596,22.05643137013585,"Modified Decay, Turnover and Spinup parameters"
1901,Litter,Boreal wet forest,2259411.8953558314,108616.23682908775,20.80178766376441,"Modified Decay, Turnover and Spinup parameters"
1901,Litter,Cool temperate moist forest,6380754.2755025355,303464.33501748473,21.026372918369123,"Modified Decay, Turnover and Spinup parameters"
1901,Litter,Cool temperate rain forest,1537456.7741160444,69789.00250735159,22.030072344909765,"Modified Decay, Turnover and Spinup parameters"
1901,Litter,Cool temperate wet forest,30371161.794681452,1459666.8536397922,20.80691338502934,"Modified Decay, Turnover and Spinup parameters"
1901,Litter,Warm temperate moist forest,24411.881690828777,1205.3539609117215,20.252873829994133,"Modified Decay, Turnover and Spinup parameters"
1901,Soil Carbon,Boreal rain forest,7921127.933599705,109148.48865778596,72.57203494988258,"Modified Decay, Turnover and Spinup parameters"
1901,Soil Carbon,Boreal wet forest,7630784.6991706565,108616.23682908775,70.25454869310211,"Modified Decay, Turnover and Spinup parameters"
1901,Soil Carbon,Cool temperate moist forest,21422716.6181598,303464.33501748473,70.59385287211917,"Modified Decay, Turnover and Spinup parameters"
1901,Soil Carbon,Cool temperate rain forest,5060692.00154467,69789.00250735159,72.51417586906442,"Modified Decay, Turnover and Spinup parameters"
1901,Soil Carbon,Cool temperate wet forest,102389265.8474881,1459666.8536397922,70.14564014533354,"Modified Decay, Turnover and Spinup parameters"
1901,Soil Carbon,Warm temperate moist forest,83360.03494687847,1205.3539609117215,69.15813748504672,"Modified Decay, Turnover and Spinup parameters"
1901,Total Biomass,Boreal rain forest,26125.05835912853,109148.48865778596,0.23935336787885916,"Modified Decay, Turnover and Spinup parameters"
1901,Total Biomass,Boreal wet forest,25997.662091370086,108616.23682908775,0.23935336787886058,"Modified Decay, Turnover and Spinup parameters"
1901,Total Biomass,Cool temperate moist forest,72635.21061755384,303464.33501748473,0.23935336787886063,"Modified Decay, Turnover and Spinup parameters"
1901,Total Biomass,Cool temperate rain forest,16704.232791040813,69789.00250735159,0.23935336787886008,"Modified Decay, Turnover and Spinup parameters"
1901,Total Biomass,Cool temperate wet forest,349376.17739985214,1459666.8536397922,0.23935336787887979,"Modified Decay, Turnover and Spinup parameters"
1901,Total Biomass,Warm temperate moist forest,288.50553003034344,1205.3539609117215,0.23935336787885927,"Modified Decay, Turnover and Spinup parameters"
1902,Deadwood,Boreal rain forest,9577413.078893457,109148.48865778596,87.74663943283346,"Modified Decay, Turnover and Spinup parameters"
1902,Deadwood,Boreal wet forest,9222948.4932337,108616.23682908775,84.91316549427503,"Modified Decay, Turnover and Spinup parameters"
