year,indicator,LifeZone,"Default Decay, Turnover and Spinup parameters"
1950,Deadwood,Boreal rain forest,23.742282655363137
1950,Deadwood,Boreal wet forest,19.968126403942986
1950,Deadwood,Cool temperate moist forest,20.79981913448822
1950,Deadwood,Cool temperate rain forest,23.674840512541078
1950,Deadwood,Cool temperate wet forest,20.233904523131006
1950,Deadwood,Warm temperate moist forest,18.494643697061125
1950,Litter,Boreal rain forest,24.863884803787876
1950,Litter,Boreal wet forest,22.390797700817405
1950,Litter,Cool temperate moist forest,22.889959040501616
1950,Litter,Cool temperate rain forest,24.824716443286192
1950,Litter,Cool temperate wet forest,22.485705161285
1950,Litter,Warm temperate moist forest,21.36560985481676
1950,Soil Carbon,Boreal rain forest,70.2934441060545
1950,Soil Carbon,Boreal wet forest,68.10763525156187
1950,Soil Carbon,Cool temperate moist forest,68.42219982561618
1950,Soil Carbon,Cool temperate rain forest,70.23929760225079
1950,Soil Carbon,Cool temperate wet forest,67.99551476534533
1950,Soil Carbon,Warm temperate moist forest,67.06648453319887
1950,Total Biomass,Boreal rain forest,70.91120107144835
1950,Total Biomass,Boreal wet forest,70.91120107144835
1950,Total Biomass,Cool temperate moist forest,70.9112010714484
1950,Total Biomass,Cool temperate rain forest,70.9112010714483
1950,Total Biomass,Cool temperate wet forest,70.91120107145355
1950,Total Biomass,Warm temperate moist forest,70.9112010714483
