year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2010,Deadwood,Boreal rain forest,17.442634003075838
2010,Deadwood,Boreal wet forest,14.83865962830075
2010,Deadwood,Cool temperate moist forest,15.514088783230811
2010,Deadwood,Cool temperate rain forest,17.4090532579121
2010,Deadwood,Cool temperate wet forest,15.180645076451022
2010,Deadwood,Warm temperate moist forest,13.932251035182508
2010,Litter,Boreal rain forest,33.57819162817714
2010,Litter,Boreal wet forest,29.443897551570267
2010,Litter,Cool temperate moist forest,30.29705939966973
2010,Litter,Cool temperate rain forest,33.499107520711455
2010,Litter,Cool temperate wet forest,29.642884868087492
2010,Litter,Warm temperate moist forest,27.764765772461583
2010,Soil Carbon,Boreal rain forest,71.89982766351896
2010,Soil Carbon,Boreal wet forest,69.5904156671374
2010,Soil Carbon,Cool temperate moist forest,69.92428360717594
2010,Soil Carbon,Cool temperate rain forest,71.84306198096257
2010,Soil Carbon,Cool temperate wet forest,69.47421826688515
2010,Soil Carbon,Warm temperate moist forest,68.49188550733874
2010,Total Biomass,Boreal rain forest,121.81071576155628
2010,Total Biomass,Boreal wet forest,121.81071576155652
2010,Total Biomass,Cool temperate moist forest,121.81071576155603
2010,Total Biomass,Cool temperate rain forest,121.81071576155567
2010,Total Biomass,Cool temperate wet forest,121.81071576156296
2010,Total Biomass,Warm temperate moist forest,121.8107157615559
