year,indicator,LifeZone,"Default Decay, Turnover and Spinup parameters"
1960,Deadwood,Boreal rain forest,20.537438293724612
1960,Deadwood,Boreal wet forest,16.961029792891487
1960,Deadwood,Cool temperate moist forest,17.781744133409948
1960,Deadwood,Cool temperate rain forest,20.473019258638775
1960,Deadwood,Cool temperate wet forest,17.266966795373225
1960,Deadwood,Warm temperate moist forest,15.604258733879254
1960,Litter,Boreal rain forest,26.803945663202388
1960,Litter,Boreal wet forest,24.00486730995774
1960,Litter,Cool temperate moist forest,24.561893704876944
1960,Litter,Cool temperate rain forest,26.756643484571857
1960,Litter,Cool temperate wet forest,24.101331471843984
1960,Litter,Warm temperate moist forest,22.837769972274916
1960,Soil Carbon,Boreal rain forest,70.29724973585083
1960,Soil Carbon,Boreal wet forest,68.11032268054512
1960,Soil Carbon,Cool temperate moist forest,68.42535904471512
1960,Soil Carbon,Cool temperate rain forest,70.24346724757982
1960,Soil Carbon,Cool temperate wet forest,67.99839523076284
1960,Soil Carbon,Warm temperate moist forest,67.06867030141133
1960,Total Biomass,Boreal rain forest,85.40816179849513
1960,Total Biomass,Boreal wet forest,85.40816179849577
1960,Total Biomass,Cool temperate moist forest,85.4081617984957
1960,Total Biomass,Cool temperate rain forest,85.40816179849541
1960,Total Biomass,Cool temperate wet forest,85.40816179850144
1960,Total Biomass,Warm temperate moist forest,85.40816179849547
