year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2000,Deadwood,Boreal rain forest,17.37124311920255
2000,Deadwood,Boreal wet forest,14.624695567984423
2000,Deadwood,Cool temperate moist forest,15.331096524548277
2000,Deadwood,Cool temperate rain forest,17.332387488265425
2000,Deadwood,Cool temperate wet forest,14.977788447521654
2000,Deadwood,Warm temperate moist forest,13.664444277286561
2000,Litter,Boreal rain forest,32.692491381902705
2000,Litter,Boreal wet forest,28.754381439818985
2000,Litter,Cool temperate moist forest,29.559009511532025
2000,Litter,Cool temperate rain forest,32.61766397165772
2000,Litter,Cool temperate wet forest,28.93032173146267
2000,Litter,Warm temperate moist forest,27.1448478674051
2000,Soil Carbon,Boreal rain forest,71.43472631720603
2000,Soil Carbon,Boreal wet forest,69.16476341831402
2000,Soil Carbon,Cool temperate moist forest,69.49192578014305
2000,Soil Carbon,Cool temperate rain forest,71.37910243913414
2000,Soil Carbon,Cool temperate wet forest,69.04876948756979
2000,Soil Carbon,Warm temperate moist forest,68.0836323130623
2000,Total Biomass,Boreal rain forest,121.81071576155628
2000,Total Biomass,Boreal wet forest,121.81071576155652
2000,Total Biomass,Cool temperate moist forest,121.81071576155603
2000,Total Biomass,Cool temperate rain forest,121.81071576155567
2000,Total Biomass,Cool temperate wet forest,121.81071576156296
2000,Total Biomass,Warm temperate moist forest,121.8107157615559
