year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2030,Deadwood,Boreal rain forest,17.536864573990094
2030,Deadwood,Boreal wet forest,15.143211619261862
2030,Deadwood,Cool temperate moist forest,15.763365197964182
2030,Deadwood,Cool temperate rain forest,17.51048067860069
2030,Deadwood,Cool temperate wet forest,15.453504452975062
2030,Deadwood,Warm temperate moist forest,14.305364645176352
2030,Litter,Boreal rain forest,34.83484424988329
2030,Litter,Boreal wet forest,30.404572161709947
2030,Litter,Cool temperate moist forest,31.332922600464133
2030,Litter,Cool temperate rain forest,34.7495678070514
2030,Litter,Cool temperate wet forest,30.641377229712948
2030,Litter,Warm temperate moist forest,28.622550036685066
2030,Soil Carbon,Boreal rain forest,72.90970778875378
2030,Soil Carbon,Boreal wet forest,70.49951019312763
2030,Soil Carbon,Cool temperate moist forest,70.8519920529104
2030,Soil Carbon,Cool temperate rain forest,72.85001773526248
2030,Soil Carbon,Cool temperate wet forest,70.38522711616876
2030,Soil Carbon,Warm temperate moist forest,69.35829564150238
2030,Total Biomass,Boreal rain forest,121.81071576155628
2030,Total Biomass,Boreal wet forest,121.81071576155652
2030,Total Biomass,Cool temperate moist forest,121.81071576155603
2030,Total Biomass,Cool temperate rain forest,121.81071576155564
2030,Total Biomass,Cool temperate wet forest,121.81071576156296
2030,Total Biomass,Warm temperate moist forest,121.8107157615559
