year,indicator,LifeZone,"Default Decay, Turnover and Spinup parameters"
1910,Deadwood,Boreal rain forest,61.809510631876584
1910,Deadwood,Boreal wet forest,58.15601992705725
1910,Deadwood,Cool temperate moist forest,58.90516185027331
1910,Deadwood,Cool temperate rain forest,61.753031068505926
1910,Deadwood,Cool temperate wet forest,58.31429868386688
1910,Deadwood,Warm temperate moist forest,56.65398953647922
1910,Litter,Boreal rain forest,20.79460901967996
1910,Litter,Boreal wet forest,18.861559528778685
1910,Litter,Cool temperate moist forest,19.236381981731483
1910,Litter,Cool temperate rain forest,20.750452271813213
1910,Litter,Cool temperate wet forest,18.919478101802866
1910,Litter,Warm temperate moist forest,18.05362881830732
1910,Soil Carbon,Boreal rain forest,71.626436979375
1910,Soil Carbon,Boreal wet forest,69.53079918252367
1910,Soil Carbon,Cool temperate moist forest,69.81926288359328
1910,Soil Carbon,Cool temperate rain forest,71.57378390734145
1910,Soil Carbon,Cool temperate wet forest,69.40222875071139
1910,Soil Carbon,Warm temperate moist forest,68.51758676290154
1910,Total Biomass,Boreal rain forest,6.615979342376785
1910,Total Biomass,Boreal wet forest,6.615979342376784
1910,Total Biomass,Cool temperate moist forest,6.615979342376702
1910,Total Biomass,Cool temperate rain forest,6.615979342376768
1910,Total Biomass,Cool temperate wet forest,6.615979342377395
1910,Total Biomass,Warm temperate moist forest,6.615979342376781
