year,indicator,LifeZone,"Default Decay, Turnover and Spinup parameters"
1990,Deadwood,Boreal rain forest,17.311720909501307
1990,Deadwood,Boreal wet forest,14.392792382330375
1990,Deadwood,Cool temperate moist forest,15.131347924759574
1990,Deadwood,Cool temperate rain forest,17.266590581117864
1990,Deadwood,Cool temperate wet forest,14.750569060098814
1990,Deadwood,Warm temperate moist forest,13.36106090103136
1990,Litter,Boreal rain forest,31.493536838611462
1990,Litter,Boreal wet forest,27.795252228315846
1990,Litter,Cool temperate moist forest,28.543207790424614
1990,Litter,Cool temperate rain forest,31.424169404973263
1990,Litter,Cool temperate wet forest,27.947214311938446
1990,Litter,Warm temperate moist forest,26.27374391476327
1990,Soil Carbon,Boreal rain forest,71.00976829527845
1990,Soil Carbon,Boreal wet forest,68.77330496398328
1990,Soil Carbon,Cool temperate moist forest,69.09503337303704
1990,Soil Carbon,Cool temperate rain forest,70.95507268424306
1990,Soil Carbon,Cool temperate wet forest,68.65793796579284
1990,Soil Carbon,Warm temperate moist forest,67.70729397964155
1990,Total Biomass,Boreal rain forest,117.45331738455107
1990,Total Biomass,Boreal wet forest,117.45331738455201
1990,Total Biomass,Cool temperate moist forest,117.45331738454912
1990,Total Biomass,Cool temperate rain forest,117.45331738455086
1990,Total Biomass,Cool temperate wet forest,117.45331738455778
1990,Total Biomass,Warm temperate moist forest,117.45331738455106
