year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
1930,Deadwood,Boreal rain forest,35.66454160112579
1930,Deadwood,Boreal wet forest,31.736656542144477
1930,Deadwood,Cool temperate moist forest,32.553040862466936
1930,Deadwood,Cool temperate rain forest,35.60081762764792
1930,Deadwood,Cool temperate wet forest,31.92736101346355
1930,Deadwood,Warm temperate moist forest,30.138059278988816
1930,Litter,Boreal rain forest,20.66089857857532
1930,Litter,Boreal wet forest,18.676001683059624
1930,Litter,Cool temperate moist forest,19.10822153291614
1930,Litter,Cool temperate rain forest,20.62804432716008
1930,Litter,Cool temperate wet forest,18.80473646180557
1930,Litter,Warm temperate moist forest,17.891787196895315
1930,Soil Carbon,Boreal rain forest,70.68241028676572
1930,Soil Carbon,Boreal wet forest,68.50745392022505
1930,Soil Carbon,Cool temperate moist forest,68.81408463306342
1930,Soil Carbon,Cool temperate rain forest,70.62730092160177
1930,Soil Carbon,Cool temperate wet forest,68.3862261676525
1930,Soil Carbon,Warm temperate moist forest,67.46492921987749
1930,Total Biomass,Boreal rain forest,40.26724624592042
1930,Total Biomass,Boreal wet forest,40.267246245920525
1930,Total Biomass,Cool temperate moist forest,40.26724624592022
1930,Total Biomass,Cool temperate rain forest,40.26724624592025
1930,Total Biomass,Cool temperate wet forest,40.26724624592313
1930,Total Biomass,Warm temperate moist forest,40.267246245920326
