year,indicator,LifeZone,"Default Decay, Turnover and Spinup parameters"
2020,Deadwood,Boreal rain forest,17.49493284306098
2020,Deadwood,Boreal wet forest,15.00779410306305
2020,Deadwood,Cool temperate moist forest,15.654185703073118
2020,Deadwood,Cool temperate rain forest,17.4655175456009
2020,Deadwood,Cool temperate wet forest,15.334793568148338
2020,Deadwood,Warm temperate moist forest,14.141305504036664
2020,Litter,Boreal rain forest,34.269318177625706
2020,Litter,Boreal wet forest,29.974814066346052
2020,Litter,Cool temperate moist forest,30.868478389062503
2020,Litter,Cool temperate rain forest,34.18685599515902
2020,Litter,Cool temperate wet forest,30.193974879547238
2020,Litter,Warm temperate moist forest,28.239786270524796
2020,Soil Carbon,Boreal rain forest,72.39460699412417
2020,Soil Carbon,Boreal wet forest,70.03815209190618
2020,Soil Carbon,Cool temperate moist forest,70.38046957151393
2020,Soil Carbon,Cool temperate rain forest,72.33646382910398
2020,Soil Carbon,Cool temperate wet forest,69.92246491402592
2020,Soil Carbon,Warm temperate moist forest,68.91942532098257
2020,Total Biomass,Boreal rain forest,121.81071576155628
2020,Total Biomass,Boreal wet forest,121.81071576155652
2020,Total Biomass,Cool temperate moist forest,121.81071576155603
2020,Total Biomass,Cool temperate rain forest,121.81071576155564
2020,Total Biomass,Cool temperate wet forest,121.81071576156296
2020,Total Biomass,Warm temperate moist forest,121.8107157615559
