year,indicator,LifeZone,"Default Decay, Turnover and Spinup parameters"
1980,Deadwood,Boreal rain forest,17.64281838223828
1980,Deadwood,Boreal wet forest,14.519552576707744
1980,Deadwood,Cool temperate moist forest,15.290040029131367
1980,Deadwood,Cool temperate rain forest,17.590754773423456
1980,Deadwood,Cool temperate wet forest,14.872386237915203
1980,Deadwood,Warm temperate moist forest,13.39527922880034
1980,Litter,Boreal rain forest,30.111642331287594
1980,Litter,Boreal wet forest,26.685828117038533
1980,Litter,Cool temperate moist forest,27.37207368926656
1980,Litter,Cool temperate rain forest,30.04872190851585
1980,Litter,Cool temperate wet forest,26.81478538647944
1980,Litter,Warm temperate moist forest,25.267307680185848
1980,Soil Carbon,Boreal rain forest,70.66684585072632
1980,Soil Carbon,Boreal wet forest,68.45580384565329
1980,Soil Carbon,Cool temperate moist forest,68.77378559473206
1980,Soil Carbon,Cool temperate rain forest,70.61279486250469
1980,Soil Carbon,Cool temperate wet forest,68.341571473466
1980,Soil Carbon,Warm temperate moist forest,67.4017679586362
1980,Total Biomass,Boreal rain forest,108.76181807793066
1980,Total Biomass,Boreal wet forest,108.76181807793064
1980,Total Biomass,Cool temperate moist forest,108.76181807793122
1980,Total Biomass,Cool temperate rain forest,108.76181807793053
1980,Total Biomass,Cool temperate wet forest,108.76181807794431
1980,Total Biomass,Warm temperate moist forest,108.76181807793066
