year,indicator,LifeZone,"Default Decay, Turnover and Spinup parameters"
1970,Deadwood,Boreal rain forest,18.621633467104434
1970,Deadwood,Boreal wet forest,15.272491969790469
1970,Deadwood,Cool temperate moist forest,16.07160266031966
1970,Deadwood,Cool temperate rain forest,18.56276608036102
1970,Deadwood,Cool temperate wet forest,15.60830082943979
1970,Deadwood,Warm temperate moist forest,14.037194044332077
1970,Litter,Boreal rain forest,28.55401629105791
1970,Litter,Boreal wet forest,25.43068475262776
1970,Litter,Cool temperate moist forest,26.052090710680815
1970,Litter,Cool temperate rain forest,28.49852341855156
1970,Litter,Cool temperate wet forest,25.539961110458805
1970,Litter,Warm temperate moist forest,24.13064671789721
1970,Soil Carbon,Boreal rain forest,70.42506975446317
1970,Soil Carbon,Boreal wet forest,68.2304439093818
1970,Soil Carbon,Cool temperate moist forest,68.54632301478249
1970,Soil Carbon,Cool temperate rain forest,70.37132999956131
1970,Soil Carbon,Cool temperate wet forest,68.11753467785385
1970,Soil Carbon,Warm temperate moist forest,67.18461006216246
1970,Total Biomass,Boreal rain forest,98.10294860332948
1970,Total Biomass,Boreal wet forest,98.10294860332962
1970,Total Biomass,Cool temperate moist forest,98.10294860332932
1970,Total Biomass,Cool temperate rain forest,98.10294860332944
1970,Total Biomass,Cool temperate wet forest,98.1029486033366
1970,Total Biomass,Warm temperate moist forest,98.10294860332924
