year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
1940,Deadwood,Boreal rain forest,28.64020946759237
1940,Deadwood,Boreal wet forest,24.737210349428764
1940,Deadwood,Cool temperate moist forest,25.56707986612961
1940,Deadwood,Cool temperate rain forest,28.57317816955976
1940,Deadwood,Cool temperate wet forest,24.9602768258656
1940,Deadwood,Warm temperate moist forest,23.17468683006634
1940,Litter,Boreal rain forest,22.785487612388714
1940,Litter,Boreal wet forest,20.602122433571576
1940,Litter,Cool temperate moist forest,21.057930592128294
1940,Litter,Cool temperate rain forest,22.75225962952307
1940,Litter,Cool temperate wet forest,20.709703985169835
1940,Litter,Warm temperate moist forest,19.71373424826013
1940,Soil Carbon,Boreal rain forest,70.42147791431087
1940,Soil Carbon,Boreal wet forest,68.235459742616
1940,Soil Carbon,Cool temperate moist forest,68.54830617874057
1940,Soil Carbon,Cool temperate rain forest,70.36677511920041
1940,Soil Carbon,Cool temperate wet forest,68.12082186472979
1940,Soil Carbon,Warm temperate moist forest,67.19260225663108
1940,Total Biomass,Boreal rain forest,55.394678116817474
1940,Total Biomass,Boreal wet forest,55.39467811681759
1940,Total Biomass,Cool temperate moist forest,55.39467811681716
1940,Total Biomass,Cool temperate rain forest,55.394678116817374
1940,Total Biomass,Cool temperate wet forest,55.39467811682162
1940,Total Biomass,Warm temperate moist forest,55.39467811681738
